,source_genesymbol,target_genesymbol,references
550,TP53,DAPK1,SPIKE:15608685;SPIKE_LC:15608685
619,TLN1,ITGB1,Adhesome:10497223;Adhesome:11279249;Adhesome:12606711;Adhesome:21947080;Adhesome:3124107;Adhesome:7716514;BioGRID:11279249;CA1:3124107;CA1:7716514;ELM:12606711;HPRD:11279249;SIGNOR:19118207;SPIKE:19118212;SPIKE_LC:19118212
634,TP53,ABCB1,SPIKE:10783169;SPIKE_LC:10783169
637,TP53,ADGRB1,SPIKE:18431400;SPIKE_LC:18431400
644,WNT5A,FZD2,Baccin2019:9389482;CellTalkDB:24032637;Cellinker:9389482;LRdb:9389482;NetPath:19910923;SIGNOR:19008118;SIGNOR:19910923;SIGNOR:2808370;SPIKE:19910923;SPIKE_LC:19910923;connectomeDB2020:19910923;connectomeDB2020:9389482
676,TP53,DNMT1,SPIKE:18431400;SPIKE_LC:18431400
679,TP53,EGFR,SPIKE:18431400;SPIKE_LC:18431400
681,TP53,EPHA2,SPIKE:18431400;SPIKE_LC:18431400
709,TP53,BDKRB2,SPIKE:18431400;SPIKE_LC:18431400
722,TP53,CASP6,SPIKE:12089322;SPIKE:18431400;SPIKE_LC:12089322;SPIKE_LC:18431400
723,TP53,CASP10,SPIKE:14688482;SPIKE_LC:14688482
724,TP53,CASP1,SPIKE:18431400;SPIKE_LC:18431400
730,TP53,BIRC5,ACSN:11714700;ACSN:11965534;ACSN:19211844;SIGNOR:11714700;SPIKE:11714700;SPIKE_LC:11714700
737,IL22,IL10RB,Baccin2019:10875937;CellTalkDB:10875937;Guide2Pharma:29608910;HPRD:10875937;LRdb:10875937;Lit-BM-17:10875937;Lit-BM-17:12513909;Lit-BM-17:15120653;SIGNOR:17208301;SPIKE:18509351;SPIKE_LC:18509351;SignaLink3:10875937;SignaLink3:17208301;SignaLink3:23331499;connectomeDB2020:10875937
739,EPO,EPOR,Baccin2019:10318834;Baccin2019:16982323;Baccin2019:9442088;Baccin2019:9808045;BioGRID:10318834;BioGRID:15358619;BioGRID:17327410;BioGRID:9808045;Cellinker:10318834;Cellinker:16982323;Cellinker:9442088;Cellinker:9808045;DIP:10318834;DIP:8662939;DIP:9030560;DIP:9774108;Guide2Pharma:16982323;HPMR:9442088;HPRD:10318834;HPRD:9808045;ICELLNET:2163696;ICELLNET:9974393;InnateDB:21889455;InnateDB:9774108;IntAct:29997244;IntAct:9774108;LRdb:10318834;LRdb:16982323;LRdb:9442088;LRdb:9808045;Lit-BM-17:10318834;Lit-BM-17:15358619;Lit-BM-17:17327410;Lit-BM-17:8662939;Lit-BM-17:9030560;Lit-BM-17:9774108;Lit-BM-17:9808045;SIGNOR:9442088;SIGNOR:9774108;SPIKE:18586265;SPIKE_LC:17145710;SPIKE_LC:18586265;SignaLink3:23331499;SignaLink3:9774108;connectomeDB2020:10318834;connectomeDB2020:16982323;connectomeDB2020:9442088;connectomeDB2020:9808045;scConnect:16982323
747,TP53,DDR1,SPIKE:18431400;SPIKE_LC:18431400
751,TP53,CTSD,SPIKE:18431400;SPIKE_LC:18431400
756,TP53,CX3CL1,SPIKE:18431400;SPIKE_LC:18431400
768,CCL3L3,CCR5,Baccin2019:10364178;Baccin2019:10477718;Baccin2019:11170631;Baccin2019:11700073;Baccin2019:11734558;Baccin2019:12964882;Baccin2019:16298345;Baccin2019:9790730;BioGRID:11734558;CellTalkDB:10364178;Cellinker:10364178;Cellinker:11449371;Cellinker:11734558;HPRD:10364178;HPRD:11449371;HPRD:11734558;ICELLNET:22633458;LRdb:11;LRdb:11734558;SPIKE:11734558;SPIKE_LC:11734558;connectomeDB2020:10364178;connectomeDB2020:11449371;connectomeDB2020:11734558
771,TNFSF10,TNFRSF10C,CellTalkDB:9314565;Cellinker:9314565;Cellinker:9325248;Cellinker:9613612;HPMR:9325248;HPRD:9314565;HPRD:9325248;HPRD:9613612;ICELLNET:11239407;LRdb:9314565;LRdb:9325248;LRdb:9613612;Lit-BM-17:20103630;Lit-BM-17:9325248;SPIKE:9082980;SPIKE:9314565;SPIKE_LC:9082980;SPIKE_LC:9314565;connectomeDB2020:9314565;connectomeDB2020:9325248;connectomeDB2020:9613612
788,TNFRSF1A,RIPK3,HPRD:10339433;SPIKE:10339433;SPIKE_LC:10339433
795,IL10,IL10RA,Baccin2019:10231374;Baccin2019:11485736;Baccin2019:11717514;Baccin2019:12974481;Baccin2019:7759550;Baccin2019:8248239;Baccin2019:8897595;BioGRID:10231374;BioGRID:11485736;BioGRID:11717514;BioGRID:7759550;BioGRID:8248239;CellTalkDB:12974481;DIP:15837194;DIP:20462497;DIP:8120391;HPRD:10231374;HPRD:11485736;HPRD:11717514;HPRD:7759550;HPRD:8248239;HPRD:8897595;InnateDB:10788470;InnateDB:11717514;InnateDB:9568901;IntAct:11485736;IntAct:12513909;IntAct:15837194;IntAct:20462497;LRdb:10231374;LRdb:11485736;LRdb:11717514;LRdb:12974481;LRdb:7759550;LRdb:8248239;LRdb:8897595;Lit-BM-17:10231374;Lit-BM-17:11485736;Lit-BM-17:11717514;Lit-BM-17:12513909;Lit-BM-17:15837194;Lit-BM-17:8120391;SIGNOR:10347215;SIGNOR:26260587;SPIKE:11591769;SPIKE_LC:11485736;SPIKE_LC:11591769;SPIKE_LC:17145710;SignaLink3:17208301;SignaLink3:21071413;SignaLink3:23331499;SignaLink3:8248239;connectomeDB2020:10231374;connectomeDB2020:11485736;connectomeDB2020:11717514;connectomeDB2020:12974481;connectomeDB2020:7759550;connectomeDB2020:8248239;connectomeDB2020:8897595;scConnect:19161426
837,IFNG,IFNGR1,Baccin2019:10811850;Baccin2019:10986460;Baccin2019:11250200;Baccin2019:12165521;BioGRID:10986460;CellTalkDB:10811850;DIP:10860730;DIP:7617032;HPMR:10811850;HPMR:12438563;HPRD:10986460;HPRD:11250200;HPRD:12165521;InnateDB:10986460;InnateDB:7673114;IntAct:11250200;IntAct:7617032;LRdb:10811850;LRdb:10986460;LRdb:11250200;LRdb:12165521;Lit-BM-17:10860730;Lit-BM-17:10986460;Lit-BM-17:11250200;Lit-BM-17:7617032;Lit-BM-17:7673114;Macrophage:7617032;SIGNOR:10986460;SIGNOR:12438563;SIGNOR:23898330;SPIKE:16110316;SPIKE_LC:16110316;SPIKE_LC:17145710;SignaLink3:10986460;SignaLink3:11250200;SignaLink3:12165521;SignaLink3:12438563;SignaLink3:12915721;SignaLink3:1396683;SignaLink3:15143187;SignaLink3:15530433;SignaLink3:16237089;SignaLink3:16467876;SignaLink3:18591661;SignaLink3:18988627;SignaLink3:20304997;SignaLink3:23331499;SignaLink3:29145629;SignaLink3:7510216;SignaLink3:7514165;SignaLink3:7615558;SignaLink3:7617032;SignaLink3:7673114;SignaLink3:8550631;SignaLink3:8631301;SignaLink3:9111318;connectomeDB2020:10811850;connectomeDB2020:10986460;connectomeDB2020:11250200;connectomeDB2020:12165521
852,EPO,DAPK2,SPIKE:18535204;SPIKE_LC:18535204
857,IGF2,IGF2R,Baccin2019:2964083;Baccin2019:7797478;Baccin2019:9722981;CellChatDB:14604834;CellTalkDB:2964083;Cellinker:14604834;Cellinker:2964083;Cellinker:7797478;Cellinker:9722981;DIP:11502794;DIP:17850746;DOMINO:18046459;HPMR:2852162;HPMR:2964083;HPRD:7797478;HPRD:9722981;ICELLNET:2964083;ICELLNET:7797478;LRdb:2964083;LRdb:7797478;LRdb:9722981;Lit-BM-17:11502794;Lit-BM-17:17850746;Lit-BM-17:18046459;SIGNOR:11867533;SPIKE:18046459;SPIKE:20980691;SPIKE_LC:18046459;SPIKE_LC:20980691;connectomeDB2020:2964083;connectomeDB2020:7797478;connectomeDB2020:9722981
859,FLT3LG,FLT3,Baccin2019:15147956;Baccin2019:7505204;Baccin2019:9651358;CellChatDB:25992210;CellTalkDB:9651358;Cellinker:15147956;Cellinker:15618475;Cellinker:19830725;Cellinker:25992210;Cellinker:7505204;Cellinker:9651358;HPMR:12681969;HPMR:15147956;HPRD:7505204;HPRD:9651358;ICELLNET:21389326;LRdb:15147956;LRdb:7505204;LRdb:9651358;SIGNOR:10080542;SIGNOR:12681969;SPIKE:7505204;SPIKE:9651358;SPIKE_LC:7505204;SPIKE_LC:9651358;connectomeDB2020:15147956;connectomeDB2020:7505204;connectomeDB2020:9651358
860,KITLG,KIT,Baccin2019:1375232;Baccin2019:1698556;Baccin2019:7680037;BioGRID:1375232;BioGRID:7680037;CancerCellMap:7680037;CellTalkDB:1698556;Cellinker:12036870;Cellinker:1375232;Cellinker:1698556;Cellinker:7680037;Guide2Pharma:7536489;HPRD:1375232;HPRD:7680037;ICELLNET:17662946;LRdb:1375232;LRdb:1698556;LRdb:7680037;Lit-BM-17:1375232;Lit-BM-17:17662946;Lit-BM-17:7680037;NetPath:7680037;ProtMapper:25717186;ProtMapper:26358753;SIGNOR:1698556;SIGNOR:17259966;SPIKE:1375232;SPIKE:7680037;SPIKE_LC:1375232;SPIKE_LC:7680037;connectomeDB2020:1375232;connectomeDB2020:1698556;connectomeDB2020:7680037;scConnect:7536489
862,IGF2,IGF1R,Baccin2019:9972281;CellChatDB:14604834;CellTalkDB:9972281;Cellinker:14604834;Cellinker:9972281;HPRD:9972281;ICELLNET:9972281;LRdb:9972281;SIGNOR:22810696;SPIKE:20980691;SPIKE_LC:20980691;SignaLink3:11867533;SignaLink3:23331499;connectomeDB2020:9972281
894,TP53,BCL2,HPRD:12667443;SIGNOR:19007744;SPIKE:11313951;SPIKE:19555669;SPIKE:8205530;SPIKE_LC:11313951;SPIKE_LC:19555669;SPIKE_LC:8205530
909,TP53,VDR,SPIKE:18431400;SPIKE_LC:18431400
913,TP53,TRPM2,SPIKE:18431400;SPIKE_LC:18431400
960,TP53,PLK2,SPIKE:18431400;SPIKE_LC:18431400
964,TP53,ODC1,SPIKE:18431400;SPIKE_LC:18431400
965,TP53,NOS3,SPIKE:18431400;SPIKE_LC:18431400
967,TP53,P2RX6,SPIKE:18431400;SPIKE_LC:18431400
969,TP53,MMP2,SPIKE:18431400;SPIKE_LC:18431400
971,TP53,MET,SPIKE:18431400;SPIKE_LC:18431400
973,TP53,NLRC4,SPIKE:18431400;SPIKE_LC:18431400
990,TP53,PTK2,HPRD:15855171;IntAct:15855171;IntAct:19857493;IntAct:25241761;Lit-BM-17:15855171;Lit-BM-17:18206965;Lit-BM-17:19857493;Lit-BM-17:25241761;SPIKE:18431400;SPIKE_LC:18431400;SPIKE_LC:19857493
991,TP53,PTEN,ACSN:17409411;ACSN:17823410;ACSN:18172008;ACSN:21336307;ACSN:21483453;ACSN:21518799;BioGRID:18339852;HPRD:12620407;SPIKE:18431400;SPIKE_LC:16713569;SPIKE_LC:18431400
992,TP53,PRKAB1,ACSN:17409411;SPIKE:18431400;SPIKE_LC:18431400
999,TP53,PLK3,HPRD:10673501;HPRD:11551930;HPRD:11709713;HPRD:12242661;HPRD:12548019;SPIKE:18431400;SPIKE_LC:16713569;SPIKE_LC:18431400
1022,TP53,SLC38A2,SPIKE:18431400;SPIKE_LC:18431400
1026,TP53,TNFRSF10C,SPIKE:10435597;SPIKE:10933923;SPIKE:14623878;SPIKE:18431400;SPIKE_LC:10435597;SPIKE_LC:10933923;SPIKE_LC:14623878;SPIKE_LC:18431400
1027,TP53,TNFRSF10A,SPIKE:11382926;SPIKE_LC:11382926
1028,TP53,TGFA,SPIKE:18431400;SPIKE_LC:18431400
1029,TP53,TAP1,SPIKE:18431400;SPIKE_LC:18431400
1075,TP53,CSNK2B,HPRD:10214938;HPRD:10747897;HPRD:10951572;HPRD:11709713;HPRD:11883897;SPIKE:11180407;SPIKE_LC:11180407;SPIKE_LC:16713569
1152,CXCL9,CXCR3,Baccin2019:12782716;Baccin2019:12884299;Baccin2019:15761110;Baccin2019:9660793;BioGRID:12782716;BioGRID:9660793;Cellinker:12782716;Cellinker:12884299;Cellinker:15761110;Cellinker:9660793;DIP:11259614;DIP:9625760;DIP:9660793;Guide2Pharma:15761110;Guide2Pharma:9660793;HPRD:12782716;HPRD:9660793;ICELLNET:12884299;LRdb:10699158;SIGNOR:12750173;SPIKE:9660793;SPIKE_LC:9660793;connectomeDB2020:12782716;connectomeDB2020:12884299;connectomeDB2020:15761110;connectomeDB2020:9660793;scConnect:15761110;scConnect:9660793
1154,CCL5,CCR5,Baccin2019:10318947;Baccin2019:10477718;Baccin2019:11116158;Baccin2019:12964882;Baccin2019:14637022;Baccin2019:16298345;Baccin2019:8663314;Baccin2019:9289016;Baccin2019:9790730;BioGRID:14637022;Cellinker:10318947;Cellinker:10477718;Cellinker:11116158;Cellinker:12964882;Cellinker:14637022;Cellinker:16298345;Cellinker:8663314;Cellinker:9289016;Cellinker:9790730;DIP:10477718;DIP:10488147;DIP:9207005;DIP:9334377;Guide2Pharma:10318947;Guide2Pharma:16298345;Guide2Pharma:9790730;HPRD:10477718;HPRD:11116158;HPRD:14637022;HPRD:8663314;HPRD:9289016;ICELLNET:22633458;InnateDB:10477718;InnateDB:12213786;IntAct:23480650;IntAct:28381538;LRdb:10699158;Lit-BM-17:10477718;Lit-BM-17:10488147;Lit-BM-17:11116158;Lit-BM-17:11449371;Lit-BM-17:14637022;Lit-BM-17:23480650;Lit-BM-17:9207005;Lit-BM-17:9334377;ProtMapper:25923671;SPIKE:10477718;SPIKE_LC:10477718;connectomeDB2020:10318947;connectomeDB2020:10477718;connectomeDB2020:11116158;connectomeDB2020:12964882;connectomeDB2020:14637022;connectomeDB2020:16298345;connectomeDB2020:8663314;connectomeDB2020:9289016;connectomeDB2020:9790730;scConnect:10318947;scConnect:16298345;scConnect:9790730
1156,CCL8,CCR5,Cellinker:10477718;Cellinker:12964882;Cellinker:9468473;Cellinker:9790730;DIP:10477718;DIP:9468473;Guide2Pharma:9790730;HPRD:10477718;HPRD:9468473;ICELLNET:22633458;InnateDB:10477718;LRdb:10699158;SPIKE:10477718;SPIKE_LC:10477718;connectomeDB2020:10477718;connectomeDB2020:12964882;connectomeDB2020:9468473;connectomeDB2020:9790730;scConnect:9790730
1158,CCL4,CCR5,Baccin2019:12427015;Baccin2019:12964882;Baccin2019:16298345;Baccin2019:8663314;Baccin2019:9790730;CellTalkDB:10699158;Cellinker:12427015;Cellinker:12964882;Cellinker:16298345;Cellinker:8663314;Cellinker:9790730;DIP:10477718;DIP:10498628;DIP:9334377;DIP:9468473;Guide2Pharma:16298345;Guide2Pharma:9790730;HPRD:12427015;HPRD:8663314;ICELLNET:22633458;InnateDB:10477718;InnateDB:12427015;InnateDB:16467191;LRdb:10699158;Lit-BM-17:10477718;Lit-BM-17:10498628;Lit-BM-17:23597562;Lit-BM-17:9334377;Lit-BM-17:9468473;SIGNOR:20219869;SPIKE:12427015;SPIKE:8663314;SPIKE_LC:12427015;SPIKE_LC:8663314;connectomeDB2020:12427015;connectomeDB2020:12964882;connectomeDB2020:16298345;connectomeDB2020:8663314;connectomeDB2020:9790730;scConnect:16298345;scConnect:9790730
1159,IL6,IL6ST,Baccin2019:14557255;Baccin2019:3136546;Baccin2019:8293462;CellTalkDB:14557255;DIP:11251120;DIP:7744001;Guide2Pharma:1995637;HPMR:15895091;HPMR:3136546;HPRD:14557255;InnateDB:15895091;LRdb:14557255;LRdb:3136546;LRdb:8293462;Lit-BM-17:11251120;Lit-BM-17:12829785;Lit-BM-17:18775332;Lit-BM-17:7744001;NetPath:2788034;SIGNOR:15895091;SPIKE:15895091;SPIKE:19715447;SPIKE_LC:15895091;SPIKE_LC:17145710;SPIKE_LC:19715447;connectomeDB2020:14557255;connectomeDB2020:3136546;connectomeDB2020:8293462;scConnect:1995637
1240,EGF,EGFR,AlzPathway:18270696;Baccin2019:10788520;Baccin2019:12093292;Baccin2019:12297050;Baccin2019:12620237;Baccin2019:15620700;Baccin2019:16274239;Baccin2019:6289330;BioGRID:12093292;BioGRID:26280537;CancerCellMap:3494473;CellTalkDB:12093292;DIP:10085134;DIP:10970856;DIP:11684674;DIP:17697999;DIP:18427122;DIP:21822280;DIP:26280537;DIP:8663535;HPMR:6289330;HPRD:10788520;HPRD:12093292;HPRD:12297050;HPRD:12620237;HPRD:15620700;HPRD:16274239;ICELLNET:8639530;IntAct:12297050;IntAct:12620237;IntAct:17697999;IntAct:21439278;IntAct:21822280;IntAct:25241761;IntAct:26280537;IntAct:2790960;IntAct:28988771;IntAct:30083275;IntAct:9135143;LRdb:10788520;LRdb:12093292;LRdb:12297050;LRdb:12620237;LRdb:15620700;LRdb:16274239;LRdb:6289330;Lit-BM-17:10085134;Lit-BM-17:10970856;Lit-BM-17:11684674;Lit-BM-17:12093292;Lit-BM-17:12297050;Lit-BM-17:12620237;Lit-BM-17:17697999;Lit-BM-17:18271526;Lit-BM-17:18427122;Lit-BM-17:19531499;Lit-BM-17:21439278;Lit-BM-17:23597562;Lit-BM-17:25080504;Lit-BM-17:25241761;Lit-BM-17:25453753;Lit-BM-17:26280537;Lit-BM-17:2790960;Lit-BM-17:8663535;NetPath:19531499;NetPath:3494473;ProtMapper:11116185;ProtMapper:12771140;ProtMapper:14568001;ProtMapper:15708576;ProtMapper:15958209;ProtMapper:16729043;ProtMapper:16843263;ProtMapper:17081983;ProtMapper:17563729;ProtMapper:17575160;ProtMapper:17971399;ProtMapper:18253097;ProtMapper:18320059;ProtMapper:18762250;ProtMapper:19129184;ProtMapper:19135477;ProtMapper:19531623;ProtMapper:19895983;ProtMapper:20813200;ProtMapper:20953304;ProtMapper:21107857;ProtMapper:21303971;ProtMapper:21311755;ProtMapper:21532939;ProtMapper:21649524;ProtMapper:21722395;ProtMapper:21858221;ProtMapper:22216880;ProtMapper:22260327;ProtMapper:23185569;ProtMapper:23613900;ProtMapper:23912460;ProtMapper:23950932;ProtMapper:24096486;ProtMapper:24709886;ProtMapper:25366117;ProtMapper:26821125;ProtMapper:26921391;ProtMapper:27387652;ProtMapper:27462018;ProtMapper:27564112;ProtMapper:29617357;ProtMapper:30197274;SIGNOR:12297050;SIGNOR:12648462;SPIKE:12297050;SPIKE:17145710;SPIKE:20458382;SPIKE:3494473;SPIKE_LC:12297050;SPIKE_LC:17145710;SPIKE_LC:20458382;SPIKE_LC:3494473;SignaLink3:10085134;SignaLink3:10209155;SignaLink3:19531499;SignaLink3:21071413;SignaLink3:23331499;connectomeDB2020:10788520;connectomeDB2020:12093292;connectomeDB2020:12297050;connectomeDB2020:12620237;connectomeDB2020:15620700;connectomeDB2020:16274239;connectomeDB2020:6289330
1250,IL1A,IL1R1,Baccin2019:29469592946959;CellTalkDB:2946959;HPRD:2946959;InnateDB:8142597;LRdb:2946959;NetPath:17507369;NetPath:2946959;NetPath:7775431;SIGNOR:7964161;SIGNOR:9565970;SPIKE:19479203;SPIKE:7692435;SPIKE_LC:19479203;SPIKE_LC:7692435;SignaLink3:23331499;SignaLink3:2946959;SignaLink3:9565970;connectomeDB2020:2946959
1258,TP53,FASLG,SPIKE:10969818;SPIKE_LC:10969818
1284,TP53,BCL6,SPIKE:16249378;SPIKE_LC:16249378
1296,TP53,HSP90AB1,HPRD:11707401;Lit-BM-17:22939624;Lit-BM-17:23443559;SPIKE:18431400;SPIKE_LC:18431400
1297,TP53,HSPA8,BioGRID:31027880;SPIKE:18431400;SPIKE_LC:18431400
1298,TP53,LGALS3,SPIKE:18431400;SPIKE_LC:18431400
1381,DKK1,LRP6,Baccin2019:11357136;Baccin2019:11448771;CancerCellMap:11448771;CellTalkDB:11516963;Cellinker:11357136;Cellinker:11448771;Cellinker:12527209;Cellinker:29925589;DIP:21944579;DIP:21984209;ELM:21944579;HPRD:11357136;HPRD:11448771;IntAct:11448771;IntAct:21944579;IntAct:21984209;LRdb:11;LRdb:11357136;NetPath:11448771;NetPath:19339249;SIGNOR:11448771;SPIKE:11516963;SPIKE_LC:11516963;SignaLink3:11357136;SignaLink3:11448771;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499;connectomeDB2020:11357136;connectomeDB2020:11448771
1383,DKK1,LRP5,AlzPathway:16307379;AlzPathway:18786602;AlzPathway:19101658;Baccin2019:11516963;CancerCellMap:11448771;Cellinker:11516963;HPRD:11516963;LRdb:11516963;NetPath:11448771;SPIKE:11516963;SPIKE_LC:11516963;connectomeDB2020:11448771
1384,WNT5A,FZD5,Baccin2019:9054360;CellTalkDB:9054360;Cellinker:9054360;HPRD:9054360;ICELLNET:11029007;LRdb:9054360;SIGNOR:9054360;SPIKE:9054360;SPIKE_LC:9054360;SignaLink3:23331499;SignaLink3:9054360;connectomeDB2020:9054360
1463,CD80,CD28,BioGRID:1847722;CellChatDB:23954143;Cellinker:21530327;Cellinker:23954143;DIP:1847722;DIP:2164219;DIP:7964482;HPRD:7545666;ICELLNET:7545666;LRdb:22437870;Lit-BM-17:1847722;Lit-BM-17:2164219;Lit-BM-17:21982860;Lit-BM-17:7545666;Lit-BM-17:7964482;NetPath:2164219;SPIKE:15610849;SPIKE:21487479;SPIKE_LC:15610849;SPIKE_LC:21487479;connectomeDB2020:7545666
1465,ANXA1,FPR2,Baccin2019:10882119;Baccin2019:12368905;Baccin2019:12560218;Baccin2019:16278303;CellChatDB:23230437;CellTalkDB:22610094;Cellinker:10882119;Cellinker:12368905;Cellinker:12560218;Cellinker:16278303;Cellinker:22610094;Cellinker:23230437;Guide2Pharma:12368905;LRdb:10882119;LRdb:12368905;LRdb:12560218;LRdb:16278303;SIGNOR:15187149;SPIKE:21042851;SPIKE_LC:21042851;connectomeDB2020:10882119;connectomeDB2020:12368905;connectomeDB2020:12560218;connectomeDB2020:16278303;scConnect:10882119;scConnect:12368905;scConnect:12560218;scConnect:16278303
1510,TNFSF14,LTBR,Baccin2019:10318773;Baccin2019:10799510;Baccin2019:9462508;CellTalkDB:10318773;Cellinker:10318773;Cellinker:10799510;Cellinker:9462508;HPMR:10799510;HPRD:10318773;HPRD:10799510;HPRD:9462508;ICELLNET:11239407;InnateDB:12571250;LRdb:10318773;LRdb:10799510;LRdb:9462508;Lit-BM-17:12571250;Lit-BM-17:26977880;SPIKE:9739048;SPIKE_LC:9739048;connectomeDB2020:10318773;connectomeDB2020:10799510;connectomeDB2020:9462508
1513,CD40LG,CD40,Cellinker:10647992;Cellinker:1374165;Cellinker:7516405;Cellinker:7543281;DIP:1280226;HPRD:10647992;HPRD:7516405;HPRD:7543281;ICELLNET:11163401;LRdb:10647992;LRdb:1374165;LRdb:7516405;LRdb:7543281;SIGNOR:12324477;SIGNOR:19426221;SPIKE:17183360;SPIKE_LC:17183360;connectomeDB2020:10647992;connectomeDB2020:1374165;connectomeDB2020:7516405;connectomeDB2020:7543281
1514,TNFSF13B,MAP3K14,SPIKE:17183360;SPIKE_LC:17183360
1515,LTA,TNFRSF1A,Baccin2019:8387891;BioGRID:8387891;CellTalkDB:8387891;Cellinker:8387891;DIP:2170974;DIP:8387891;HPRD:8387891;ICELLNET:7995952;InnateDB:8171323;LRdb:8387891;Lit-BM-17:1310388;Lit-BM-17:2170974;Lit-BM-17:8182064;Lit-BM-17:8288897;Lit-BM-17:8387891;SPIKE:12387745;SPIKE_LC:12387745;SPIKE_LC:16189514;connectomeDB2020:8387891
1517,LTB,LTBR,Baccin2019:7916655;Baccin2019:7995952;CellTalkDB:7995952;Cellinker:7916655;Cellinker:7995952;HPRD:7916655;InnateDB:8171323;LRdb:792;LRdb:7995952;SIGNOR:7995952;SPIKE:12387745;SPIKE_LC:12387745;connectomeDB2020:7916655;connectomeDB2020:7995952
