,Id,category,identifier
TNFRSF1A,272,Ligand,TNFRSF1A
GGT1,273,Ligand,GGT1
CR2,274,Ligand,CR2
CD33,275,Ligand,CD33
CD22,276,Ligand,CD22
TNFRSF1B,277,Ligand,TNFRSF1B
NPR2,278,Ligand,NPR2
ITGAL,279,Ligand,ITGAL
ITGAX,280,Ligand,ITGAX
EFNA1,281,Ligand,EFNA1
FLNA,282,Ligand,FLNA
S1PR1,283,Ligand,S1PR1
FPR1,284,Ligand,FPR1
SYT1,285,Ligand,SYT1
NT5E,286,Ligand,NT5E
EPHA1,287,Ligand,EPHA1
TBXA2R,288,Ligand,TBXA2R
FGFR2,289,Ligand,FGFR2
IBSP,290,Ligand,IBSP
CD72,291,Ligand,CD72
ERBB3,292,Ligand,ERBB3
CD9,293,Ligand,CD9
TNXB,294,Ligand,TNXB
CDH3,295,Ligand,CDH3
FGFR4,296,Ligand,FGFR4
FGFR3,297,Ligand,FGFR3
CBL,298,Ligand,CBL
LHCGR,299,Ligand,LHCGR
MRC1,300,Ligand,MRC1
ITGA6,301,Ligand,ITGA6
ANOS1,302,Ligand,ANOS1
JAK1,303,Ligand,JAK1
PTPRB,304,Ligand,PTPRB
PTPRD,305,Ligand,PTPRD
PTPRG,306,Ligand,PTPRG
PTPRZ1,307,Ligand,PTPRZ1
TNFSF4,308,Ligand,TNFSF4
OMG,309,Ligand,OMG
LAMA2,310,Ligand,LAMA2
FCAR,311,Ligand,FCAR
IL4R,312,Ligand,IL4R
EDNRB,313,Ligand,EDNRB
TNC,314,Ligand,TNC
CXCR1,315,Ligand,CXCR1
CXCR2,316,Ligand,CXCR2
APC,317,Ligand,APC
CD24,318,Ligand,CD24
FPR2,319,Ligand,FPR2
GRK2,320,Ligand,GRK2
EDNRA,321,Ligand,EDNRA
PTAFR,322,Ligand,PTAFR
ACKR3,323,Ligand,ACKR3
F2R,324,Ligand,F2R
MPZ,325,Ligand,MPZ
LAMA1,326,Ligand,LAMA1
FAS,327,Ligand,FAS
COL5A3,328,Ligand,COL5A3
CD40,329,Ligand,CD40
ITGA3,330,Ligand,ITGA3
ITGB7,331,Ligand,ITGB7
ITGB8,332,Ligand,ITGB8
MSN,333,Ligand,MSN
KLRK1,334,Ligand,KLRK1
CD27,335,Ligand,CD27
CNTFR,336,Ligand,CNTFR
ACVR2A,337,Ligand,ACVR2A
YWHAQ,338,Ligand,YWHAQ
DPP4,339,Ligand,DPP4
CD82,340,Ligand,CD82
CALR,341,Ligand,CALR
IL1R2,342,Ligand,IL1R2
PIK3R1,343,Ligand,PIK3R1
HTR1D,344,Ligand,HTR1D
HTR1B,345,Ligand,HTR1B
HTR2A,346,Ligand,HTR2A
PTPRM,347,Ligand,PTPRM
CD34,348,Ligand,CD34
CD38,349,Ligand,CD38
TNFRSF8,350,Ligand,TNFRSF8
CD1B,351,Ligand,CD1B
ADORA2A,352,Ligand,ADORA2A
ADORA2B,353,Ligand,ADORA2B
EPHA2,354,Ligand,EPHA2
EPHA3,355,Ligand,EPHA3
EPHA8,356,Ligand,EPHA8
EPHB2,357,Ligand,EPHB2
GNA11,358,Ligand,GNA11
CD6,359,Ligand,CD6
HLA-F,360,Ligand,HLA-F
AVPR2,361,Ligand,AVPR2
AXL,362,Ligand,AXL
LRPAP1,363,Ligand,LRPAP1
ADORA1,364,Ligand,ADORA1
AGTR1,365,Ligand,AGTR1
GNA15,366,Ligand,GNA15
CD52,367,Ligand,CD52
SDC4,368,Ligand,SDC4
IL2RG,369,Ligand,IL2RG
FCGR2B,370,Ligand,FCGR2B
CEACAM8,371,Ligand,CEACAM8
L1CAM,372,Ligand,L1CAM
ARRB2,373,Ligand,ARRB2
CCKBR,374,Ligand,CCKBR
CCR1,375,Ligand,CCR1
CCR7,376,Ligand,CCR7
CSF2RB,377,Ligand,CSF2RB
ICAM3,378,Ligand,ICAM3
CD70,379,Ligand,CD70
TNFSF8,380,Ligand,TNFSF8
CDH5,381,Ligand,CDH5
CD80,382,Ligand,CD80
SDC2,383,Ligand,SDC2
GRK5,384,Ligand,GRK5
GPC1,385,Ligand,GPC1
ADRA1A,386,Ligand,ADRA1A
ADRA1B,387,Ligand,ADRA1B
OPRM1,388,Ligand,OPRM1
APLNR,389,Ligand,APLNR
THBS2,390,Ligand,THBS2
THBS4,391,Ligand,THBS4
DRD3,392,Ligand,DRD3
TIE1,393,Ligand,TIE1
BSG,394,Ligand,BSG
FLT4,395,Ligand,FLT4
KDR,396,Ligand,KDR
BMPR1A,397,Ligand,BMPR1A
TGFBR1,398,Ligand,TGFBR1
LTBR,399,Ligand,LTBR
ACVRL1,400,Ligand,ACVRL1
TGFBR2,401,Ligand,TGFBR2
IFNGR2,402,Ligand,IFNGR2
ITGAE,403,Ligand,ITGAE
COL18A1,404,Ligand,COL18A1
GDNF,405,Ligand,GDNF
IL6ST,406,Ligand,IL6ST
GP5,407,Ligand,GP5
CEACAM3,408,Ligand,CEACAM3
CEACAM6,409,Ligand,CEACAM6
CD96,410,Ligand,CD96
MPL,411,Ligand,MPL
CD79B,412,Ligand,CD79B
OPRD1,413,Ligand,OPRD1
OPRL1,414,Ligand,OPRL1
CASR,415,Ligand,CASR
CD200,416,Ligand,CD200
GRM5,417,Ligand,GRM5
CCR2,418,Ligand,CCR2
CD86,419,Ligand,CD86
PIK3CA,420,Ligand,PIK3CA
IL12RB1,421,Ligand,IL12RB1
LIFR,422,Ligand,LIFR
CDKN2A,423,Ligand,CDKN2A
PTGIR,424,Ligand,PTGIR
MCAM,425,Ligand,MCAM
DCC,426,Ligand,DCC
SYK,427,Ligand,SYK
TNFRSF4,428,Ligand,TNFRSF4
KIR3DL1,429,Ligand,KIR3DL1
KIR3DL2,430,Ligand,KIR3DL2
KIR2DS4,431,Ligand,KIR2DS4
CRKL,432,Ligand,CRKL
NOTCH1,433,Ligand,NOTCH1
GABRB2,434,Ligand,GABRB2
GCGR,435,Ligand,GCGR
FASLG,436,Ligand,FASLG
MTNR1A,437,Ligand,MTNR1A
LEPR,438,Ligand,LEPR
CD151,439,Ligand,CD151
IFNAR2,440,Ligand,IFNAR2
ADGRE5,441,Ligand,ADGRE5
MTNR1B,442,Ligand,MTNR1B
THBS3,443,Ligand,THBS3
PGF,444,Ligand,PGF
RGS19,445,Ligand,RGS19
ENTPD1,446,Ligand,ENTPD1
AGTR2,447,Ligand,AGTR2
MMP14,448,Ligand,MMP14
HTR6,449,Ligand,HTR6
MMP15,450,Ligand,MMP15
MMP16,451,Ligand,MMP16
CCR4,452,Ligand,CCR4
CCR5,453,Ligand,CCR5
APLP1,454,Ligand,APLP1
EFNA3,455,Ligand,EFNA3
EFNA4,456,Ligand,EFNA4
EFNB2,457,Ligand,EFNB2
EFNA5,458,Ligand,EFNA5
ITGA8,459,Ligand,ITGA8
EPHB3,460,Ligand,EPHB3
EPHA5,461,Ligand,EPHA5
EPHB4,462,Ligand,EPHB4
EPHB1,463,Ligand,EPHB1
EPHA4,464,Ligand,EPHA4
F2RL1,465,Ligand,F2RL1
AFDN,466,Ligand,AFDN
LAMB2,467,Ligand,LAMB2
CDH4,468,Ligand,CDH4
CDH6,469,Ligand,CDH6
CDH8,470,Ligand,CDH8
CDH11,471,Ligand,CDH11
CDH12,472,Ligand,CDH12
CDH13,473,Ligand,CDH13
CDH15,474,Ligand,CDH15
FCGRT,475,Ligand,FCGRT
GFRA1,476,Ligand,GFRA1
ITGA1,477,Ligand,ITGA1
WNT3A,478,Ligand,WNT3A
JAM2,479,Ligand,JAM2
CLDN2,480,Ligand,CLDN2
NRXN1,481,Ligand,NRXN1
NRXN2,482,Ligand,NRXN2
CD81,483,Ligand,CD81
CXCR4,484,Ligand,CXCR4
HNRNPK,485,Ligand,HNRNPK
TSPAN5,486,Ligand,TSPAN5
GNB1,487,Ligand,GNB1
GNAI1,488,Ligand,GNAI1
CXADR,489,Ligand,CXADR
SIRPA,490,Ligand,SIRPA
CNTNAP1,491,Ligand,CNTNAP1
BTN3A2,492,Ligand,BTN3A2
JAG1,493,Ligand,JAG1
RELN,494,Ligand,RELN
ADAM17,495,Ligand,ADAM17
DLK1,496,Ligand,DLK1
VLDLR,497,Ligand,VLDLR
HSPG2,498,Ligand,HSPG2
EFNB1,499,Ligand,EFNB1
PPP2R2B,500,Ligand,PPP2R2B
IL9R,501,Ligand,IL9R
RHAG,502,Ligand,RHAG
TNFRSF17,503,Ligand,TNFRSF17
CNTN2,504,Ligand,CNTN2
DSG1,505,Ligand,DSG1
DSC2,506,Ligand,DSC2
TEK,507,Ligand,TEK
GUCY2D,508,Ligand,GUCY2D
CAV1,509,Ligand,CAV1
PLAUR,510,Ligand,PLAUR
NOTCH2,511,Ligand,NOTCH2
MST1R,512,Ligand,MST1R
PTK2,513,Ligand,PTK2
PRKCZ,514,Ligand,PRKCZ
BTK,515,Ligand,BTK
TYRO3,516,Ligand,TYRO3
APLP2,517,Ligand,APLP2
LTB,518,Ligand,LTB
CD69,519,Ligand,CD69
TJP1,520,Ligand,TJP1
LRP1,521,Ligand,LRP1
IL10RB,522,Ligand,IL10RB
DDR1,523,Ligand,DDR1
LGALS3BP,524,Ligand,LGALS3BP
DSC1,525,Ligand,DSC1
CD300C,526,Ligand,CD300C
CD47,527,Ligand,CD47
SIGLEC14,528,Ligand,SIGLEC14
KCNA1,529,Ligand,KCNA1
BST2,530,Ligand,BST2
CNTN1,531,Ligand,CNTN1
CDH17,532,Ligand,CDH17
MERTK,533,Ligand,MERTK
FAP,534,Ligand,FAP
PTPRJ,535,Ligand,PTPRJ
KLRB1,536,Ligand,KLRB1
PTPN13,537,Ligand,PTPN13
TRAF2,538,Ligand,TRAF2
FADD,539,Ligand,FADD
KLRD1,540,Ligand,KLRD1
GRM1,541,Ligand,GRM1
PTGDR,542,Ligand,PTGDR
SLAMF1,543,Ligand,SLAMF1
PTK7,544,Ligand,PTK7
PTPRS,545,Ligand,PTPRS
ITGAD,546,Ligand,ITGAD
ITGB3BP,547,Ligand,ITGB3BP
ADAM9,548,Ligand,ADAM9
ADAM15,549,Ligand,ADAM15
LSAMP,550,Ligand,LSAMP
FZD5,551,Ligand,FZD5
MADCAM1,552,Ligand,MADCAM1
IL18R1,553,Ligand,IL18R1
SEMA5A,554,Ligand,SEMA5A
CDH18,555,Ligand,CDH18
PTCH1,556,Ligand,PTCH1
HTR4,557,Ligand,HTR4
IL10RA,558,Ligand,IL10RA
ITGA7,559,Ligand,ITGA7
ACVR2B,560,Ligand,ACVR2B
ALCAM,561,Ligand,ALCAM
LAMB3,562,Ligand,LAMB3
LAMC2,563,Ligand,LAMC2
ITGA9,564,Ligand,ITGA9
CEACAM7,565,Ligand,CEACAM7
CNGB1,566,Ligand,CNGB1
NID2,567,Ligand,NID2
LRP8,568,Ligand,LRP8
DAG1,569,Ligand,DAG1
DSG2,570,Ligand,DSG2
SELPLG,571,Ligand,SELPLG
CTTN,572,Ligand,CTTN
GNA13,573,Ligand,GNA13
GAS6,574,Ligand,GAS6
GRM2,575,Ligand,GRM2
DSC3,576,Ligand,DSC3
KCNAB1,577,Ligand,KCNAB1
ICAM4,578,Ligand,ICAM4
GRM7,579,Ligand,GRM7
GRM4,580,Ligand,GRM4
OPCML,581,Ligand,OPCML
HEPACAM,582,Ligand,HEPACAM
POSTN,583,Ligand,POSTN
AGER,584,Ligand,AGER
PDCD1,585,Ligand,PDCD1
PON2,586,Ligand,PON2
NECTIN1,587,Ligand,NECTIN1
PTPRK,588,Ligand,PTPRK
ERBB4,589,Ligand,ERBB4
EPHA7,590,Ligand,EPHA7
SHH,591,Ligand,SHH
TGFBI,592,Ligand,TGFBI
CD226,593,Ligand,CD226
EFNB3,594,Ligand,EFNB3
ZYX,595,Ligand,ZYX
CNGA2,596,Ligand,CNGA2
NTRK3,597,Ligand,NTRK3
LAMA4,598,Ligand,LAMA4
CDC37,599,Ligand,CDC37
ACKR1,600,Ligand,ACKR1
OCLN,601,Ligand,OCLN
MOG,602,Ligand,MOG
LAMA3,603,Ligand,LAMA3
PTPRO,604,Ligand,PTPRO
DDR2,605,Ligand,DDR2
MICB,606,Ligand,MICB
MICA,607,Ligand,MICA
TCTN1,608,Ligand,TCTN1
PRTG,609,Ligand,PRTG
CEACAM21,610,Ligand,CEACAM21
TIGIT,611,Ligand,TIGIT
SYTL3,612,Ligand,SYTL3
SDK2,613,Ligand,SDK2
IGSF11,614,Ligand,IGSF11
LY6G6F,615,Ligand,LY6G6F
TREML2,616,Ligand,TREML2
WLS,617,Ligand,WLS
COL13A1,618,Ligand,COL13A1
IL23R,619,Ligand,IL23R
RAET1L,620,Ligand,RAET1L
NCR3LG1,621,Ligand,NCR3LG1
RAET1G,622,Ligand,RAET1G
TCTN3,623,Ligand,TCTN3
RGMB,624,Ligand,RGMB
LILRA6,625,Ligand,LILRA6
LVRN,626,Ligand,LVRN
CSPG4,627,Ligand,CSPG4
CLEC2A,628,Ligand,CLEC2A
EPGN,629,Ligand,EPGN
MPZL3,630,Ligand,MPZL3
LAYN,631,Ligand,LAYN
BTNL8,632,Ligand,BTNL8
BTNL9,633,Ligand,BTNL9
LRRN1,634,Ligand,LRRN1
CEACAM20,635,Ligand,CEACAM20
DLK2,636,Ligand,DLK2
FAT4,637,Ligand,FAT4
SIGLEC15,638,Ligand,SIGLEC15
HJV,639,Ligand,HJV
ILDR2,640,Ligand,ILDR2
BTN2A1,641,Ligand,BTN2A1
DYM,642,Ligand,DYM
NEGR1,643,Ligand,NEGR1
BTLA,644,Ligand,BTLA
VTCN1,645,Ligand,VTCN1
TSPAN33,646,Ligand,TSPAN33
CDH24,647,Ligand,CDH24
JAML,648,Ligand,JAML
TMPRSS6,649,Ligand,TMPRSS6
GPIHBP1,650,Ligand,GPIHBP1
CNGA4,651,Ligand,CNGA4
IGDCC3,652,Ligand,IGDCC3
ADGRA3,653,Ligand,ADGRA3
SFTPA2,654,Ligand,SFTPA2
SFTPA1,655,Ligand,SFTPA1
CNTN4,656,Ligand,CNTN4
FAM126B,657,Ligand,FAM126B
SMAP1,658,Ligand,SMAP1
IZUMO1,659,Ligand,IZUMO1
KIAA0319L,660,Ligand,KIAA0319L
UNC5B,661,Ligand,UNC5B
CPAMD8,662,Ligand,CPAMD8
APCDD1,663,Ligand,APCDD1
NLGN4X,664,Ligand,NLGN4X
CADM3,665,Ligand,CADM3
NLGN1,666,Ligand,NLGN1
MUC20,667,Ligand,MUC20
CADM2,668,Ligand,CADM2
LILRB2,669,Ligand,LILRB2
FGFRL1,670,Ligand,FGFRL1
SFRP1,671,Ligand,SFRP1
CLDN19,672,Ligand,CLDN19
CD177,673,Ligand,CD177
IL17RC,674,Ligand,IL17RC
NETO2,675,Ligand,NETO2
KREMEN2,676,Ligand,KREMEN2
GPR26,677,Ligand,GPR26
MDGA1,678,Ligand,MDGA1
SEMA6D,679,Ligand,SEMA6D
NLGN4Y,680,Ligand,NLGN4Y
NLGN2,681,Ligand,NLGN2
CADM4,682,Ligand,CADM4
LILRB4,683,Ligand,LILRB4
LILRB1,684,Ligand,LILRB1
PATJ,685,Ligand,PATJ
PCDH19,686,Ligand,PCDH19
LNX1,687,Ligand,LNX1
RAET1E,688,Ligand,RAET1E
CD200R1,689,Ligand,CD200R1
DSCAML1,690,Ligand,DSCAML1
CD300LF,691,Ligand,CD300LF
IGDCC4,692,Ligand,IGDCC4
PARD3,693,Ligand,PARD3
SCARB1,694,Ligand,SCARB1
ITLN1,695,Ligand,ITLN1
FCAMR,696,Ligand,FCAMR
LIPH,697,Ligand,LIPH
ADGRV1,698,Ligand,ADGRV1
CLEC2B,699,Ligand,CLEC2B
NCSTN,700,Ligand,NCSTN
TSC1,701,Ligand,TSC1
LPAR1,702,Ligand,LPAR1
SORL1,703,Ligand,SORL1
NECTIN2,704,Ligand,NECTIN2
PTPRU,705,Ligand,PTPRU
TNR,706,Ligand,TNR
HAS2,707,Ligand,HAS2
NRCAM,708,Ligand,NRCAM
EDA,709,Ligand,EDA
SEMA4D,710,Ligand,SEMA4D
NEO1,711,Ligand,NEO1
GLG1,712,Ligand,GLG1
TNFRSF14,713,Ligand,TNFRSF14
TNFRSF25,714,Ligand,TNFRSF25
LPP,715,Ligand,LPP
TMIGD2,716,Ligand,TMIGD2
NTNG2,717,Ligand,NTNG2
HAVCR1,718,Ligand,HAVCR1
SLAMF6,719,Ligand,SLAMF6
KLRG1,720,Ligand,KLRG1
DNAJA3,721,Ligand,DNAJA3
IL17RA,722,Ligand,IL17RA
LINGO1,723,Ligand,LINGO1
BICD1,724,Ligand,BICD1
TIMD4,725,Ligand,TIMD4
IGSF21,726,Ligand,IGSF21
KIRREL1,727,Ligand,KIRREL1
LRIG1,728,Ligand,LRIG1
DCHS1,729,Ligand,DCHS1
MEGF10,730,Ligand,MEGF10
FCRL1,731,Ligand,FCRL1
ROBO3,732,Ligand,ROBO3
KREMEN1,733,Ligand,KREMEN1
VSTM2L,734,Ligand,VSTM2L
LRFN5,735,Ligand,LRFN5
NECTIN4,736,Ligand,NECTIN4
DCBLD2,737,Ligand,DCBLD2
FCRL4,738,Ligand,FCRL4
PCDH15,739,Ligand,PCDH15
HHIP,740,Ligand,HHIP
MAGI1,741,Ligand,MAGI1
TNFRSF13C,742,Ligand,TNFRSF13C
GPHA2,743,Ligand,GPHA2
CSF3R,744,Ligand,CSF3R
HBEGF,745,Ligand,HBEGF
NOTCH4,746,Ligand,NOTCH4
S1PR3,747,Ligand,S1PR3
SORT1,748,Ligand,SORT1
OSMR,749,Ligand,OSMR
LPAR4,750,Ligand,LPAR4
KIR2DL4,751,Ligand,KIR2DL4
SMO,752,Ligand,SMO
PKP2,753,Ligand,PKP2
ADAM2,754,Ligand,ADAM2
PDCD1LG2,755,Ligand,PDCD1LG2
MXRA8,756,Ligand,MXRA8
LRFN3,757,Ligand,LRFN3
JAM3,758,Ligand,JAM3
C1QTNF5,759,Ligand,C1QTNF5
C1QTNF1,760,Ligand,C1QTNF1
CARD11,761,Ligand,CARD11
